sample_id,position,velocity,acceleration
pmks_positive_0000,0,0,0
pmks_positive_0001,-0.05321179614602823,3.2435313375516044,6.0635467479266429
pmks_positive_0002,-0.10810782902156899,3.3436912439964481,5.9550566221978061
pmks_positive_0003,-0.16465796350907469,3.4420138372824312,5.8430768108318469
pmks_positive_0004,-0.22283109520053795,3.5384413461994861,5.7276546318063035
pmks_positive_0005,-0.28259516354472425,3.632916813168785,5.6088404272150783
pmks_positive_0006,-0.34391716583449328,3.7253841458738517,5.4866877115394779
pmks_positive_0007,-0.40676317207548945,3.8157881714002637,5.3612533243373388
pmks_positive_0008,-0.47109834077851409,3.9040746929538517,5.23259758689293
pmks_positive_0009,-0.53688693571916124,3.9901905492190299,5.1007844622820038
pmks_positive_0010,-0.60409234370910314,4.0740836764089607,4.9658817182105102
pmks_positive_0011,-0.67267709342426507,4.1557031730476757,4.8279610918822407
pmks_positive_0012,-0.74260287533567626,4.2349993675110884,4.6870984560397435
pmks_positive_0013,-0.8138305627890805,4.3119238883384199,4.5433739852052302
pmks_positive_0014,-0.88632023427946527,4.3864297373084566,4.39687232102394
pmks_positive_0015,-0.96003119696640959,4.4584713652556109,4.2476827354823206
pmks_positive_0016,-1.0349220114755602,4.5280047505792256,4.0958992906384069
pmks_positive_0017,-1.1109505180305539,4.5949874803756225,3.9416209933631632
pmks_positive_0018,-1.1880738639583732,4.6593788340963345,3.7849519434503698
pmks_positive_0019,-1.2662485326091797,4.7211398696072555,3.6260014733109078
pmks_positive_0020,-1.3454303737294269,4.7802335114926269,3.4648842773270352
pmks_positive_0021,-1.4255746353241212,4.8366246414145575,3.3017205288051299
pmks_positive_0022,-1.5066359970406766,4.8902801903032627,3.1366359823348748
pmks_positive_0023,-1.5885686051027066,4.9411692321156906,2.9697620592411269
pmks_positive_0024,-1.6713261088175033,4.9892630788606906,2.8012359137053662
pmks_positive_0025,-1.7548616986754308,5.034535376547705,2.6312004770397697
pmks_positive_0026,-1.8391281460535436,5.0769622016733491,2.4598044775228574
pmks_positive_0027,-1.924077844528822,5.1165221578165925,2.2872024331545551
pmks_positive_0028,-2.009662852798995,5.1531964718690286,2.1135546146649258
pmks_positive_0029,-2.0958349392005715,5.1869690893822593,1.9390269761193237
pmks_positive_0030,-2.182545627804795,5.2178267684704585,1.7637910505056786
pmks_positive_0031,-2.2697462460623963,5.2457591716632637,1.5880238077742383
pmks_positive_0032,-2.3573879739577119,5.2707589550629832,1.4119074729263883
pmks_positive_0033,-2.4454218946215618,5.2928218541214038,1.2356293019242643
pmks_positive_0034,-2.533799046340568,5.3119467653161445,1.0593813134169974
pmks_positive_0035,-2.6224704758884192,5.3281358229754225,0.88335997455686288
pmks_positive_0036,-2.7113872930916929,5.3413944704738467,0.70776583950951111
pmks_positive_0037,-2.8005007265298771,5.3517315250018971,0.53280313964899018
pmks_positive_0038,-2.8897621802556772,5.3591592350983959,0.35867932486878729
pmks_positive_0039,-2.9791232914082428,5.3636933301299194,0.18560455593302752
pmks_positive_0040,-3.0685359885782777,5.3653530609042299,0.013791148335983914
pmks_positive_0041,-3.1579525507705966,5.364161230617527,-0.15654703127449199
pmks_positive_0042,-3.2473256667964909,5.3601442153580212,-0.32519521442523364
pmks_positive_0043,-3.3366084949156005,5.3533319734219278,-0.49193842355416517
pmks_positive_0044,-3.425754722534927,5.3437580427426212,-0.65656220512857044
pmks_positive_0045,-3.514718625761438,5.3314595257900388,-0.81885339942430857
pmks_positive_0046,-3.603455128594526,5.3164770613650623,-0.97860094254986807
pmks_positive_0047,-3.6919198615356748,5.2988547827931027,-1.1355966956169716
pmks_positive_0048,-3.7800692193851102,5.2786402621114581,-1.2896362953034324
pmks_positive_0049,-3.8678604179893528,5.2558844399461808,-1.4405200194401706
pmks_positive_0050,-3.9552515496993603,5.2306415408850233,-1.588053660696032
pmks_positive_0051,-4.0422016372967651,5.2029689742726823,-1.7320494009473797
pmks_positive_0052,-4.1286706861454885,5.1729272204815304,-1.8723266785179957
pmks_positive_0053,-4.2146197343280232,5.1405797028439615,-2.0087130401732196
pmks_positive_0054,-4.3000109005299345,5.1059926455695059,-2.1410449695596014
pmks_positive_0055,-4.3848074294426196,5.0692349181090899,-2.2691686837119387
pmks_positive_0056,-4.4689737344632734,5.0303778665681689,-2.3929408893068023
pmks_positive_0057,-4.5524754374822001,4.9894951329077157,-2.5122294905343354
pmks_positive_0058,-4.6352794055610111,4.9466624628049827,-2.6269142407878201
pmks_positive_0059,-4.7173537843208129,4.9019575031723068,-2.7368873308339894
pmks_positive_0060,-4.7986680278772491,4.8554595904496649,-2.8420539067209454
pmks_positive_0061,-4.8791929251785691,4.8072495308933796,-2.9423325113981198
pmks_positive_0062,-4.9589006226242525,4.7574093741769001,-3.0376554448524304
pmks_positive_0063,-5.037764642864218,4.7060221816986845,-3.1279690384932768
pmks_positive_0064,-5.1157598997024651,4.6531717910549242,-3.2132338405298064
pmks_positive_0065,-5.1928627090537294,4.5989425781803153,-3.2934247101577356
pmks_positive_0066,-5.2690507959269857,4.5434192186871467,-3.3685308194898602
pmks_positive_0067,-5.3443032974352942,4.486686449941323,-3.4385555633020224
pmks_positive_0068,-5.4186007618570002,4.4288288354032046,-3.5035163778025691
pmks_positive_0069,-5.4919251437985972,4.3699305327317495,-3.5634444707456976
pmks_positive_0070,-5.5642597955341282,4.3100750671027486,-3.6183844662760145
pmks_positive_0071,-5.6355894546196925,4.2493451111270764,-3.6683939688926261
pmks_positive_0072,-5.7059002279040474,4.1878222726739756,-3.7135430518375574
pmks_positive_0073,-5.7751795720772741,4.125586891809002,-3.75391367602947
pmks_positive_0074,-5.8434162709187651,4.0627178479482504,-3.7895990463651525
pmks_positive_0075,-5.9106004094231661,3.9992923782117864,-3.8207029127890881
pmks_positive_0076,-5.9767233449982298,3.9353859078319382,-3.8473388239770179
