sample_id,x,y,vx,vy,ax,ay
matlab_0000,2.4641016151377548,3.7320508075688772,-3.9081944666274127,2.5804011772718378,-2.7021897939438864,-4.0926516750523199
matlab_0001,2.3985930529883408,3.7744869010444408,-3.9526334397973728,2.5118007714065613,-2.630351616910676,-4.139188058933593
matlab_0002,2.332353856159294,3.8157732492456713,-3.9958684025315514,2.4424352466939543,-2.5577122092941669,-4.1844636060349014
matlab_0003,2.2654042017516418,3.8558972759509555,-4.0378861850414722,2.3723257325448022,-2.4842936977615913,-4.2284645249860011
matlab_0004,2.1977644832786729,3.8948467589930704,-4.0786739883035485,2.3014935849962819,-2.4101184463027847,-4.2711774126807365
matlab_0005,2.1294553044538747,3.9326098339821676,-4.118219387957784,2.2299603802067027,-2.3352090494178928,-4.3125892583597425
matlab_0006,2.0604974729148431,3.9691749979197866,-4.1565103380923611,2.1577479078832016,-2.2595883252348705,-4.352687447573663
matlab_0007,1.9909119938850743,4.0045311127027778,-4.1935351749129355,2.0848781646443855,-2.1832793085588573,-4.3914597660256218
matlab_0008,1.9207200637755706,4.0386674085160763,-4.2292826202955442,2.0113733473199504,-2.1063052438555556,-4.4288944032918236
matlab_0009,1.8499430637282082,4.0715734871132909,-4.2637417852220301,1.937255846189311,-2.0286895781707392,-4.4649799564191195
matlab_0010,1.7786025531028327,4.1032393249841128,-4.2969021730969432,1.8625482381613028,-1.9504559539880535,-4.4997054333984581
matlab_0011,1.7067202629100726,4.1336552764075734,-4.3287536829449058,1.7872732798970414,-1.871628202027293,-4.5330602565131581
matlab_0012,1.6343180891918596,4.162812076390221,-4.3592866124874634,1.7114539008780181,-1.7922303339853252,-4.5650342655609828
matlab_0013,1.561418086351684,4.1907008434883348,-4.3884916610985005,1.6351131964215611,-1.7122865352219001,-4.595617720949039
matlab_0014,1.4880424604366089,4.2173130825132912,-4.4163599326372935,1.5582744206457768,-1.6318211573925543,-4.6248013066605447
matlab_0015,1.4142135623730938,4.2426406871192848,-4.4428829381583652,1.4809609793861207,-1.5508587110308605,-4.6525761330925848
matlab_0016,1.3399538811586855,4.2666759422725988,-4.4680525984973016,1.4031964230657523,-1.4694238580822809,-4.678933739763969
matlab_0017,1.2652860370116519,4.289411526601679,-4.4918612467317374,1.3250044395218494,-1.387541404391901,-4.7038660978923712
matlab_0018,1.1902327744806431,4.3108405146272926,-4.5143016305167816,1.2464088467900618,-1.305236292148328,-4.7273656128399812
matlab_0019,1.1148169555164837,4.3309563788721022,-4.5353669142941495,1.1674335858493081,-1.2225335922860583,-4.7494251264269023
matlab_0020,1.0390615525081996,4.3497529918489901,-4.5550506813743361,1.0881027133291217,-1.1394584968486297,-4.7700379191115987
matlab_0021,0.96298964128540632,4.3672246279275582,-4.5733469358912116,1.0084403941817675,-1.0560363113148785,-4.7891977120377396
matlab_0022,0.88662439408918736,4.3833659650782044,-4.5902501046284065,0.92847089432136409,-0.97229244689064742,-4.8068986689467934
matlab_0023,0.80998907251360541,4.3981720864932674,-4.6057550387169801,0.84821857323225092,-0.88825241276828504,-4.823135397955812
matlab_0024,0.73310702041999554,4.4116384820847356,-4.6198570152038103,0.76770787654885342,-0.80394180835629914,-4.837902953199853
matlab_0025,0.65600165682619871,4.4237610498580588,-4.6325517384902488,0.68696332860930609,-0.71938631548152898,-4.8511968363385298
matlab_0026,0.57869646877290171,4.4345360971616596,-4.6438353416406075,0.60600952498510097,-0.63461169056621103,-4.8630129979262593
matlab_0027,0.5012150041692579,4.4439603418117501,-4.6537043875600599,0.52487112498903932,-0.54964375678232524,-4.8733478386457572
matlab_0028,0.42358086461996547,4.4520309130921127,-4.6621558700416132,0.44357284416376536,-0.46450839618560508,-4.8821982104044208
matlab_0029,0.34581769823598968,4.458745352628557,-4.669187214681835,0.36213944675317233,-0.37923154183161273,-4.8895614172932795
matlab_0030,0.26794919243112009,4.4641016151377535,-4.6747962796650322,0.28059573815897487,-0.29383916987628017,-4.8954352164081865
matlab_0031,0.18999906670655375,4.4680980690502565,-4.678981356415675,0.19896655738474209,-0.20835729166331923,-4.8998178185330294
