sample_id,position,velocity,acceleration
pmks_positive_0000,0,0,0
pmks_positive_0001,-0.069758695892653932,4.1820426792913041,-0.44264071701286034
pmks_positive_0002,-0.13939447038460884,4.1740437589751815,-0.51698066144778321
pmks_positive_0003,-0.2088866739524331,4.1648183460054646,-0.58981670422499843
pmks_positive_0004,-0.27821507477068685,4.1543916556759699,-0.66113119091834815
pmks_positive_0005,-0.34735986361603288,4.1427891786632944,-0.7309087287701348
pmks_positive_0006,-0.41630165814324371,4.1300366434081708,-0.7991361767947307
pmks_positive_0007,-0.48502150653580145,4.1161599787013587,-0.86580263114598011
pmks_positive_0008,-0.55350089053520257,4.1011852765522505,-0.93089940583934827
pmks_positive_0009,-0.62172172785427726,4.0851387554167413,-0.99442000893907934
pmks_positive_0010,-0.68966637398115438,4.0680467238588793,-1.0563601143391821
pmks_positive_0011,-0.75731762338171649,4.0499355447185614,-1.1167175292846474
pmks_positive_0012,-0.82465871010954572,4.0308315998549009,-1.1754921577959176
pmks_positive_0013,-0.89167330783351417,4.0107612555321133,-1.2326859601750257
pmks_positive_0014,-0.95834552929428618,3.9897508285116143,-1.2883029087860622
pmks_positive_0015,-1.0246599252019877,3.967826552910743,-1.3423489403154869
pmks_positive_0016,-1.0906014825883048,3.9450145478849805,-1.3948319047293345
pmks_positive_0017,-1.1561556226272032,3.9213407861868346,-1.4457615111544173
pmks_positive_0018,-1.2213081979392459,3.8968310636507097,-1.4951492709192093
pmks_positive_0019,-1.2860454893954021,3.8715109696490821,-1.5430084379971896
pmks_positive_0020,-1.3503542024368116,3.8454058585612074,-1.5893539471009688
pmks_positive_0021,-1.4142214629277277,3.8185408222914266,-1.6342023496795606
pmks_positive_0022,-1.4776348125594403,3.7909406638698799,-1.6775717480736634
pmks_positive_0023,-1.5405822038233783,3.7626298721642142,-1.7194817280848775
pmks_positive_0024,-1.6030519945722279,3.7336325977265714,-1.7599532902143231
pmks_positive_0025,-1.6650329421880592,3.7039726297959312,-1.7990087798243366
pmks_positive_0026,-1.7265141973769271,3.6736733744716519,-1.8366718164737053
pmks_positive_0027,-1.7874852976095301,3.6427578340699376,-1.8729672226724783
pmks_positive_0028,-1.8479361602277216,3.6112485876708842,-1.9079209522966916
pmks_positive_0029,-1.9078570752367696,3.579167772859825,-1.9415600188965647
pmks_positive_0030,-1.9672386978032339,3.5465370686628472,-1.9739124241238779
pmks_positive_0031,-2.0260720404783932,3.5133776796726881,-2.0050070864954566
pmks_positive_0032,-2.0843484651669577,3.4797103213576506,-2.0348737707000328
pmks_positive_0033,-2.1420596748607128,3.4455552065428425,-2.0635430176453697
pmks_positive_0034,-2.1991977051565357,3.4109320330498232,-2.091046075431457
pmks_positive_0035,-2.2557549155779419,3.375859972477766,-2.1174148314239694
pmks_positive_0036,-2.3117239807190266,3.3403576601064242,-2.1426817455901181
pmks_positive_0037,-2.3670978812293164,3.3044431858986028,-2.1668797852465582
pmks_positive_0038,-2.4218698946576502,3.2681340865774295,-2.1900423613563307
pmks_positive_0039,-2.4760335861728127,3.231447338751571,-2.2122032664988978
pmks_positive_0040,-2.5295827991780655,3.1943993530595569,-2.2333966146244051
pmks_positive_0041,-2.5825116458364459,3.1570059693026389,-2.2536567826902791
pmks_positive_0042,-2.6348144975228767,3.1192824525340899,-2.2730183542653815
pmks_positive_0043,-2.6864859752189005,3.0812434900715218,-2.2915160651741924
pmks_positive_0044,-2.7375209398650426,3.0429031893977099,-2.3091847512409336
pmks_positive_0045,-2.7879144826853608,3.0042750769145092,-2.3260592981812755
pmks_positive_0046,-2.8376619154980673,2.9653720975137623,-2.3421745936773224
pmks_positive_0047,-2.8867587610255612,2.9262066149285788,-2.3575654816600444
pmks_positive_0048,-2.9352007432165905,2.8867904128280832,-2.3722667188121145
pmks_positive_0049,-2.9829837775925352,2.8471346966185966,-2.3863129332934969
pmks_positive_0050,-3.0301039616294148,2.807250095914243,-2.3997385856818769
pmks_positive_0051,-3.0765575651863362,2.7671466676402035,-2.4125779321103762
pmks_positive_0052,-3.1223410209907136,2.7268338997322217,-2.4248649895758057
pmks_positive_0053,-3.1674509151898462,2.6863207153964499,-2.4366335033821209
pmks_positive_0054,-3.2118839779779513,2.6456154778944043,-2.4479169166756649
pmks_positive_0055,-3.2556370743070246,2.6047259958185927,-2.4587483420212797
pmks_positive_0056,-3.2987071946895519,2.5636595288252524,-2.4691605349613841
