sample_id,theta_delta_rad,omega_rad_s,alpha_rad_s2
pmks_positive_0000,0,1.0471975511965976,0
pmks_positive_0001,0.01745329251994332,1.0471975511965976,0
pmks_positive_0002,0.03490658503988664,1.0471975511965976,0
pmks_positive_0003,0.052359877559829959,1.0471975511965976,0
pmks_positive_0004,0.069813170079773279,1.0471975511965976,0
pmks_positive_0005,0.087266462599716599,1.0471975511965976,0
pmks_positive_0006,0.10471975511965992,1.0471975511965976,0
pmks_positive_0007,0.12217304763960324,1.0471975511965976,0
pmks_positive_0008,0.13962634015954656,1.0471975511965976,0
pmks_positive_0009,0.15707963267948988,1.0471975511965976,0
pmks_positive_0010,0.1745329251994332,1.0471975511965976,0
pmks_positive_0011,0.19198621771937652,1.0471975511965976,0
pmks_positive_0012,0.20943951023931984,1.0471975511965976,0
pmks_positive_0013,0.22689280275926316,1.0471975511965976,0
pmks_positive_0014,0.24434609527920648,1.0471975511965976,0
pmks_positive_0015,0.2617993877991498,1.0471975511965976,0
pmks_positive_0016,0.27925268031909312,1.0471975511965976,0
pmks_positive_0017,0.29670597283903644,1.0471975511965976,0
pmks_positive_0018,0.31415926535897976,1.0471975511965976,0
pmks_positive_0019,0.33161255787892308,1.0471975511965976,0
pmks_positive_0020,0.3490658503988664,1.0471975511965976,0
pmks_positive_0021,0.36651914291880971,1.0471975511965976,0
pmks_positive_0022,0.38397243543875303,1.0471975511965976,0
pmks_positive_0023,0.40142572795869635,1.0471975511965976,0
pmks_positive_0024,0.41887902047863967,1.0471975511965976,0
pmks_positive_0025,0.43633231299858277,1.0471975511965976,0
pmks_positive_0026,0.45378560551852587,1.0471975511965976,0
pmks_positive_0027,0.47123889803846897,1.0471975511965976,0
pmks_positive_0028,0.48869219055841207,1.0471975511965976,0
pmks_positive_0029,0.50614548307835516,1.0471975511965976,0
pmks_positive_0030,0.52359877559829826,1.0471975511965976,0
pmks_positive_0031,0.54105206811824136,1.0471975511965976,0
pmks_positive_0032,0.55850536063818446,1.0471975511965976,0
pmks_positive_0033,0.57595865315812755,1.0471975511965976,0
pmks_positive_0034,0.59341194567807065,1.0471975511965976,0
pmks_positive_0035,0.61086523819801375,1.0471975511965976,0
pmks_positive_0036,0.62831853071795685,1.0471975511965976,0
pmks_positive_0037,0.64577182323789994,1.0471975511965976,0
pmks_positive_0038,0.66322511575784304,1.0471975511965976,0
pmks_positive_0039,0.68067840827778614,1.0471975511965976,0
pmks_positive_0040,0.69813170079772924,1.0471975511965976,0
pmks_positive_0041,0.71558499331767234,1.0471975511965976,0
pmks_positive_0042,0.73303828583761543,1.0471975511965976,0
pmks_positive_0043,0.75049157835755853,1.0471975511965976,0
pmks_positive_0044,0.76794487087750163,1.0471975511965976,0
pmks_positive_0045,0.78539816339744473,1.0471975511965976,0
pmks_positive_0046,0.80285145591738782,1.0471975511965976,0
pmks_positive_0047,0.82030474843733092,1.0471975511965976,0
pmks_positive_0048,0.83775804095727402,1.0471975511965976,0
pmks_positive_0049,0.85521133347721712,1.0471975511965976,0
pmks_positive_0050,0.87266462599716021,1.0471975511965976,0
pmks_positive_0051,0.89011791851710331,1.0471975511965976,0
pmks_positive_0052,0.90757121103704641,1.0471975511965976,0
pmks_positive_0053,0.92502450355698951,1.0471975511965976,0
pmks_positive_0054,0.94247779607693261,1.0471975511965976,0
pmks_positive_0055,0.9599310885968757,1.0471975511965976,0
pmks_positive_0056,0.9773843811168188,1.0471975511965976,0
pmks_positive_0057,0.9948376736367619,1.0471975511965976,0
pmks_positive_0058,1.012290966156705,1.0471975511965976,0
pmks_positive_0059,1.0297442586766481,1.0471975511965976,0
pmks_positive_0060,1.0471975511965912,1.0471975511965976,0
pmks_positive_0061,1.0646508437165343,1.0471975511965976,0
pmks_positive_0062,1.0821041362364774,1.0471975511965976,0
pmks_positive_0063,1.0995574287564205,1.0471975511965976,0
pmks_positive_0064,1.1170107212763636,1.0471975511965976,0
pmks_positive_0065,1.1344640137963067,1.0471975511965976,0
pmks_positive_0066,1.1519173063162498,1.0471975511965976,0
pmks_positive_0067,1.1693705988361929,1.0471975511965976,0
pmks_positive_0068,1.186823891356136,1.0471975511965976,0
pmks_positive_0069,1.2042771838760791,1.0471975511965976,0
pmks_positive_0070,1.2217304763960222,1.0471975511965976,0
pmks_positive_0071,1.2391837689159653,1.0471975511965976,0
pmks_positive_0072,1.2566370614359084,1.0471975511965976,0
pmks_positive_0073,1.2740903539558515,1.0471975511965976,0
pmks_positive_0074,1.2915436464757946,1.0471975511965976,0
pmks_positive_0075,1.3089969389957377,1.0471975511965976,0
pmks_positive_0076,1.3264502315156808,1.0471975511965976,0
pmks_positive_0077,1.3439035240356239,1.0471975511965976,0
pmks_positive_0078,1.361356816555567,1.0471975511965976,0
pmks_positive_0079,1.37881010907551,1.0471975511965976,0
pmks_positive_0080,1.3962634015954531,1.0471975511965976,0
pmks_positive_0081,1.4137166941153962,1.0471975511965976,0
pmks_positive_0082,1.4311699866353393,1.0471975511965976,0
pmks_positive_0083,1.4486232791552824,1.0471975511965976,0
pmks_positive_0084,1.4660765716752255,1.0471975511965976,0
pmks_positive_0085,1.4835298641951686,1.0471975511965976,0
pmks_positive_0086,1.5009831567151117,1.0471975511965976,0
pmks_positive_0087,1.5184364492350548,1.0471975511965976,0
pmks_positive_0088,1.5358897417549979,1.0471975511965976,0
pmks_positive_0089,1.553343034274941,1.0471975511965976,0
pmks_positive_0090,1.5707963267948841,1.0471975511965976,0
pmks_positive_0091,1.5882496193148268,1.0471975511965976,0
pmks_positive_0092,1.6057029118347699,1.0471975511965976,0
pmks_positive_0093,1.623156204354713,1.0471975511965976,0
pmks_positive_0094,1.6406094968746561,1.0471975511965976,0
pmks_positive_0095,1.6580627893945992,1.0471975511965976,0
pmks_positive_0096,1.6755160819145423,1.0471975511965976,0
pmks_positive_0097,1.6929693744344854,1.0471975511965976,0
pmks_positive_0098,1.7104226669544285,1.0471975511965976,0
pmks_positive_0099,1.7278759594743716,1.0471975511965976,0
pmks_positive_0100,1.7453292519943147,1.0471975511965976,0
pmks_positive_0101,1.7627825445142578,1.0471975511965976,0
pmks_positive_0102,1.7802358370342009,1.0471975511965976,0
pmks_positive_0103,1.7976891295541439,1.0471975511965976,0
pmks_positive_0104,1.815142422074087,1.0471975511965976,0
pmks_positive_0105,1.8325957145940301,1.0471975511965976,0
pmks_positive_0106,1.8500490071139732,1.0471975511965976,0
pmks_positive_0107,1.8675022996339163,1.0471975511965976,0
pmks_positive_0108,1.8849555921538594,1.0471975511965976,0
pmks_positive_0109,1.9024088846738025,1.0471975511965976,0
pmks_positive_0110,1.9198621771937456,1.0471975511965976,0
pmks_positive_0111,1.9373154697136887,1.0471975511965976,0
pmks_positive_0112,1.9547687622336318,1.0471975511965976,0
pmks_positive_0113,1.9722220547535749,1.0471975511965976,0
pmks_positive_0114,1.989675347273518,1.0471975511965976,0
pmks_positive_0115,2.0071286397934611,1.0471975511965976,0
pmks_positive_0116,2.0245819323134042,1.0471975511965976,0
pmks_positive_0117,2.0420352248333473,1.0471975511965976,0
pmks_positive_0118,2.0594885173532904,1.0471975511965976,0
pmks_positive_0119,2.0769418098732335,1.0471975511965976,0
pmks_positive_0120,2.0943951023931766,1.0471975511965976,0
pmks_positive_0121,2.1118483949131197,1.0471975511965976,0
pmks_positive_0122,2.1293016874330628,1.0471975511965976,0
pmks_positive_0123,2.1467549799530059,1.0471975511965976,0
pmks_positive_0124,2.164208272472949,1.0471975511965976,0
pmks_positive_0125,2.1816615649928921,1.0471975511965976,0
pmks_positive_0126,2.1991148575128352,1.0471975511965976,0
pmks_positive_0127,2.2165681500327783,1.0471975511965976,0
pmks_positive_0128,2.2340214425527214,1.0471975511965976,0
pmks_positive_0129,2.2514747350726645,1.0471975511965976,0
pmks_positive_0130,2.2689280275926076,1.0471975511965976,0
pmks_positive_0131,2.2863813201125507,1.0471975511965976,0
pmks_positive_0132,2.3038346126324938,1.0471975511965976,0
pmks_positive_0133,2.3212879051524369,1.0471975511965976,0
pmks_positive_0134,2.33874119767238,1.0471975511965976,0
pmks_positive_0135,2.3561944901923231,1.0471975511965976,0
pmks_positive_0136,2.3736477827122662,1.0471975511965976,0
pmks_positive_0137,2.3911010752322093,1.0471975511965976,0
pmks_positive_0138,2.4085543677521524,1.0471975511965976,0
pmks_positive_0139,2.4260076602720955,1.0471975511965976,0
pmks_positive_0140,2.443460952792039,1.0471975511965976,0
pmks_positive_0141,2.4609142453119812,1.0471975511965976,0
pmks_positive_0142,2.4783675378319252,1.0471975511965976,0
pmks_positive_0143,2.4958208303518674,1.0471975511965976,0
pmks_positive_0144,2.5132741228718114,1.0471975511965976,0
pmks_positive_0145,2.5307274153917536,1.0471975511965976,0
pmks_positive_0146,2.5481807079116976,1.0471975511965976,0
