sample_id,sweep_id,sweep_index,input_angle_rad,input_direction,time_s,jacobian_condition,eligibility
pmks_positive_0000,pmks_positive,0,1.5707963267948966,1,0,1.3496991988530855,eligible
pmks_positive_0001,pmks_positive,1,1.5882496193148399,1,0.01666666666666667,1.3496794587517269,eligible
pmks_positive_0002,pmks_positive,2,1.6057029118347832,1,0.03333333333333334,1.3496203139285938,eligible
pmks_positive_0003,pmks_positive,3,1.6231562043547265,1,0.05000000000000001,1.3495219907631772,eligible
pmks_positive_0004,pmks_positive,4,1.6406094968746698,1,0.06666666666666668,1.3493848663432686,eligible
pmks_positive_0005,pmks_positive,5,1.6580627893946132,1,0.083333333333333343,1.349209468147103,eligible
pmks_positive_0006,pmks_positive,6,1.6755160819145565,1,0.10000000000000001,1.3489964735967077,eligible
pmks_positive_0007,pmks_positive,7,1.6929693744344998,1,0.11666666666666667,1.3487467094807859,eligible
pmks_positive_0008,pmks_positive,8,1.7104226669544431,1,0.13333333333333333,1.3484611512449367,eligible
pmks_positive_0009,pmks_positive,9,1.7278759594743864,1,0.14999999999999999,1.3481409221464755,eligible
pmks_positive_0010,pmks_positive,10,1.7453292519943298,1,0.16666666666666666,1.3477872922705387,eligible
pmks_positive_0011,pmks_positive,11,1.7627825445142731,1,0.18333333333333332,1.3474016774035458,eligible
pmks_positive_0012,pmks_positive,12,1.7802358370342164,1,0.19999999999999998,1.3469856377594391,eligible
pmks_positive_0013,pmks_positive,13,1.7976891295541597,1,0.21666666666666665,1.3465408765534426,eligible
pmks_positive_0014,pmks_positive,14,1.815142422074103,1,0.23333333333333331,1.3460692384173376,eligible
pmks_positive_0015,pmks_positive,15,1.8325957145940464,1,0.24999999999999997,1.345572707649517,eligible
pmks_positive_0016,pmks_positive,16,1.8500490071139897,1,0.26666666666666666,1.3450534062922623,eligible
pmks_positive_0017,pmks_positive,17,1.867502299633933,1,0.28333333333333333,1.344513592027899,eligible
pmks_positive_0018,pmks_positive,18,1.8849555921538763,1,0.29999999999999999,1.3439556558846384,eligible
pmks_positive_0019,pmks_positive,19,1.9024088846738196,1,0.31666666666666665,1.3433821197420979,eligible
pmks_positive_0020,pmks_positive,20,1.919862177193763,1,0.33333333333333331,1.3427956336256726,eligible
pmks_positive_0021,pmks_positive,21,1.9373154697137063,1,0.34999999999999998,1.3421989727781525,eligible
pmks_positive_0022,pmks_positive,22,1.9547687622336496,1,0.36666666666666664,1.3415950344962422,eligible
pmks_positive_0023,pmks_positive,23,1.9722220547535929,1,0.3833333333333333,1.3409868347190086,eligible
pmks_positive_0024,pmks_positive,24,1.9896753472735362,1,0.39999999999999997,1.3403775043547166,eligible
pmks_positive_0025,pmks_positive,25,2.0071286397934793,1,0.41666666666666663,1.3397702853321285,eligible
pmks_positive_0026,pmks_positive,26,2.0245819323134224,1,0.43333333333333329,1.3391685263620885,eligible
pmks_positive_0027,pmks_positive,27,2.0420352248333655,1,0.44999999999999996,1.3385756783952032,eligible
pmks_positive_0028,pmks_positive,28,2.0594885173533086,1,0.46666666666666662,1.3379952897616332,eligible
pmks_positive_0029,pmks_positive,29,2.0769418098732517,1,0.48333333333333328,1.3374310009795172,eligible
pmks_positive_0030,pmks_positive,30,2.0943951023931948,1,0.49999999999999994,1.3368865392193716,eligible
pmks_positive_0031,pmks_positive,31,2.1118483949131379,1,0.51666666666666661,1.3363657124130004,eligible
pmks_positive_0032,pmks_positive,32,2.129301687433081,1,0.53333333333333333,1.3358724029970208,eligible
pmks_positive_0033,pmks_positive,33,2.1467549799530241,1,0.55000000000000004,1.3354105612831406,eligible
pmks_positive_0034,pmks_positive,34,2.1642082724729672,1,0.56666666666666676,1.3349841984497761,eligible
pmks_positive_0035,pmks_positive,35,2.1816615649929103,1,0.58333333333333348,1.3345973791525643,eligible
pmks_positive_0036,pmks_positive,36,2.1991148575128534,1,0.6000000000000002,1.3342542137547502,eligible
pmks_positive_0037,pmks_positive,37,2.2165681500327965,1,0.61666666666666692,1.3339588501823545,eligible
pmks_positive_0038,pmks_positive,38,2.2340214425527396,1,0.63333333333333364,1.3337154654134333,eligible
pmks_positive_0039,pmks_positive,39,2.2514747350726827,1,0.65000000000000036,1.3335282566155722,eligible
pmks_positive_0040,pmks_positive,40,2.2689280275926258,1,0.66666666666666707,1.3334014319510203,eligible
pmks_positive_0041,pmks_positive,41,2.2863813201125689,1,0.68333333333333379,1.3333392010744372,eligible
pmks_positive_0042,pmks_positive,42,2.303834612632512,1,0.70000000000000051,1.3333457653540792,eligible
pmks_positive_0043,pmks_positive,43,2.3212879051524551,1,0.71666666666666723,1.3334253078532461,eligible
pmks_positive_0044,pmks_positive,44,2.3387411976723982,1,0.73333333333333395,1.333581983114857,eligible
pmks_positive_0045,pmks_positive,45,2.3561944901923413,1,0.75000000000000067,1.3338199067979724,eligible
pmks_positive_0046,pmks_positive,46,2.3736477827122844,1,0.76666666666666738,1.3341431452208001,eligible
pmks_positive_0047,pmks_positive,47,2.3911010752322275,1,0.7833333333333341,1.3345557048700436,eligible
pmks_positive_0048,pmks_positive,48,2.4085543677521706,1,0.80000000000000082,1.3350615219412174,eligible
pmks_positive_0049,pmks_positive,49,2.4260076602721137,1,0.81666666666666754,1.3356644519786141,eligible
pmks_positive_0050,pmks_positive,50,2.4434609527920568,1,0.83333333333333426,1.3363682596867645,eligible
pmks_positive_0051,pmks_positive,51,2.4609142453119999,1,0.85000000000000098,1.3371766089874064,eligible
pmks_positive_0052,pmks_positive,52,2.478367537831943,1,0.8666666666666677,1.3380930533969615,eligible
pmks_positive_0053,pmks_positive,53,2.4958208303518861,1,0.88333333333333441,1.3391210267992799,eligible
pmks_positive_0054,pmks_positive,54,2.5132741228718292,1,0.90000000000000113,1.340263834686821,eligible
pmks_positive_0055,pmks_positive,55,2.5307274153917723,1,0.91666666666666785,1.3415246459404999,eligible
pmks_positive_0056,pmks_positive,56,2.5481807079117154,1,0.93333333333333457,1.3429064852140946,eligible
pmks_positive_0057,pmks_positive,57,2.5656340004316585,1,0.95000000000000129,1.344412225983479,eligible
pmks_positive_0058,pmks_positive,58,2.5830872929516016,1,0.96666666666666801,1.3460445843140294,eligible
pmks_positive_0059,pmks_positive,59,2.6005405854715447,1,0.98333333333333472,1.3478061133915531,eligible
pmks_positive_0060,pmks_positive,60,2.6179938779914878,1,1.0000000000000013,1.3496991988530846,eligible
pmks_positive_0061,pmks_positive,61,2.6354471705114308,1,1.0166666666666679,1.351726054944137,eligible
pmks_positive_0062,pmks_positive,62,2.6529004630313739,1,1.0333333333333345,1.3538887215186877,eligible
pmks_positive_0063,pmks_positive,63,2.670353755551317,1,1.0500000000000012,1.3561890618875281,eligible
pmks_positive_0064,pmks_positive,64,2.6878070480712601,1,1.0666666666666678,1.3586287615098998,eligible
pmks_positive_0065,pmks_positive,65,2.7052603405912032,1,1.0833333333333344,1.3612093275127997,eligible
pmks_positive_0066,pmks_positive,66,2.7227136331111463,1,1.100000000000001,1.3639320890121989,eligible
pmks_positive_0067,pmks_positive,67,2.7401669256310894,1,1.1166666666666676,1.3667981982009185,eligible
pmks_positive_0068,pmks_positive,68,2.7576202181510325,1,1.1333333333333342,1.3698086321592347,eligible
pmks_positive_0069,pmks_positive,69,2.7750735106709756,1,1.1500000000000008,1.372964195336591,eligible
