sample_id,theta_delta_rad,omega_rad_s,alpha_rad_s2
matlab_0000,0,1.0471975511965976,0
matlab_0001,0.017453292519943209,1.0471975511965976,0
matlab_0002,0.034906585039886528,1.0471975511965976,0
matlab_0003,0.052359877559829848,1.0471975511965976,0
matlab_0004,0.069813170079773168,1.0471975511965976,0
matlab_0005,0.087266462599716488,1.0471975511965976,0
matlab_0006,0.10471975511965981,1.0471975511965976,0
matlab_0007,0.12217304763960313,1.0471975511965976,0
matlab_0008,0.13962634015954645,1.0471975511965976,0
matlab_0009,0.15707963267948977,1.0471975511965976,0
matlab_0010,0.17453292519943309,1.0471975511965976,0
matlab_0011,0.19198621771937641,1.0471975511965976,0
matlab_0012,0.20943951023931973,1.0471975511965976,0
matlab_0013,0.22689280275926305,1.0471975511965976,0
matlab_0014,0.24434609527920637,1.0471975511965976,0
matlab_0015,0.26179938779914969,1.0471975511965976,0
matlab_0016,0.27925268031909301,1.0471975511965976,0
matlab_0017,0.29670597283903632,1.0471975511965976,0
matlab_0018,0.31415926535897964,1.0471975511965976,0
matlab_0019,0.33161255787892296,1.0471975511965976,0
matlab_0020,0.34906585039886628,1.0471975511965976,0
matlab_0021,0.3665191429188096,1.0471975511965976,0
matlab_0022,0.38397243543875292,1.0471975511965976,0
matlab_0023,0.40142572795869624,1.0471975511965976,0
matlab_0024,0.41887902047863956,1.0471975511965976,0
matlab_0025,0.43633231299858288,1.0471975511965976,0
matlab_0026,0.4537856055185262,1.0471975511965976,0
matlab_0027,0.47123889803846952,1.0471975511965976,0
matlab_0028,0.48869219055841284,1.0471975511965976,0
matlab_0029,0.50614548307835616,1.0471975511965976,0
matlab_0030,0.52359877559829948,1.0471975511965976,0
matlab_0031,0.5410520681182428,1.0471975511965976,0
matlab_0032,0.55850536063818612,1.0471975511965976,0
matlab_0033,0.57595865315812944,1.0471975511965976,0
matlab_0034,0.59341194567807276,1.0471975511965976,0
matlab_0035,0.61086523819801608,1.0471975511965976,0
