sample_id,position,velocity,acceleration
pmks_positive_0000,-2.6665857332348182,-32.329386267521457,1472.4510530467419
pmks_positive_0001,-2.2449748058685408,-21.011965775731714,333.06887871432156
pmks_positive_0002,-1.9305292294429206,-17.182995013982421,161.05767658811175
pmks_positive_0003,-1.6630694731645912,-15.080095516746033,99.652750415446945
pmks_positive_0004,-1.4239775425576697,-13.692897918946336,69.88220412002957
pmks_positive_0005,-1.2045823501879394,-12.681396949395873,52.910665951671746
pmks_positive_0006,-1.0000259756900247,-11.894976489040413,42.208316163586382
pmks_positive_0007,-0.80727301462176104,-11.255404203957006,34.977448986931336
pmks_positive_0008,-0.62428382321851128,-10.717533222368818,29.84108553395663
pmks_positive_0009,-0.44961465498759789,-10.253274569482624,26.051292552776037
pmks_positive_0010,-0.28220281834860472,-9.8441354356779929,23.170634840391237
pmks_positive_0011,-0.1212419345673359,-9.4773919364622774,20.928092764729385
pmks_positive_0012,0.033894954032887448,-9.1439745618270365,19.147801422907122
pmks_positive_0013,0.18370509312783145,-8.8372288625305284,17.711224451530285
pmks_positive_0014,0.32858942698930793,-8.5521533315892526,16.535888125337173
pmks_positive_0015,0.468875793888337,-8.2849116294509972,15.562841900954039
pmks_positive_0016,0.60483547719206587,-8.0325096725371683,14.748960969263493
pmks_positive_0017,0.73669529645136489,-7.7925755872817479,14.062055581416097
pmks_positive_0018,0.86464662239352386,-7.5632059534387386,13.477669649441014
pmks_positive_0019,0.98885221964860293,-7.342855982571896,12.976929761742525
pmks_positive_0020,1.1094515233374986,-7.1302595425483402,12.545066320365599
pmks_positive_0021,1.2265647655973675,-6.9243699041339966,12.170375767515422
pmks_positive_0022,1.3402962436336097,-6.7243151574888671,11.843478885213298
pmks_positive_0023,1.4507369374635006,-6.5293641967912652,11.556781889159133
pmks_positive_0024,1.5579666284541984,-6.3389004389079631,11.304078983359194
pmks_positive_0025,1.6620556300008902,-6.1524012834542452,11.080255238025124
pmks_positive_0026,1.7630662135242909,-5.9694218908094872,10.881061696757602
pmks_positive_0027,1.8610537927060227,-5.7895822464521727,10.702943208395808
pmks_positive_0028,1.9560679141025208,-5.612556753954614,10.542905236442028
pmks_positive_0029,2.0481530913608781,-5.4380657933646823,10.398409821642536
pmks_positive_0030,2.137349512099628,-5.2658688214756832,10.267293586231965
pmks_positive_0031,2.2236936403510024,-5.0957586922389764,10.147702570779039
pmks_positive_0032,2.3072187327544258,-4.9275569505018497,10.03804004587508
pmks_positive_0033,2.3879552830644917,-4.7611099080177661,9.9369244122600104
