matlab_sample_id,matlab_sweep_id,matlab_sweep_index,input_angle_rad,input_direction,jacobian_condition,eligibility,pmks_sample_id,status,reason
matlab_0055,matlab_sweep_00,55,2.5307274153917723,1,1.3415246459404992,eligible,pmks_positive_0055,matched,
matlab_0056,matlab_sweep_00,56,2.5481807079117154,1,1.3429064852140946,eligible,pmks_positive_0056,matched,
matlab_0057,matlab_sweep_00,57,2.5656340004316585,1,1.344412225983479,eligible,pmks_positive_0057,matched,
matlab_0058,matlab_sweep_00,58,2.5830872929516016,1,1.346044584314029,eligible,pmks_positive_0058,matched,
matlab_0059,matlab_sweep_00,59,2.6005405854715447,1,1.3478061133915529,eligible,pmks_positive_0059,matched,
matlab_0060,matlab_sweep_00,60,2.6179938779914878,1,1.3496991988530846,eligible,pmks_positive_0060,matched,
matlab_0061,matlab_sweep_00,61,2.6354471705114308,1,1.3517260549441374,eligible,pmks_positive_0061,matched,
matlab_0062,matlab_sweep_00,62,2.6529004630313739,1,1.3538887215186879,eligible,pmks_positive_0062,matched,
matlab_0063,matlab_sweep_00,63,2.670353755551317,1,1.3561890618875274,eligible,pmks_positive_0063,matched,
matlab_0064,matlab_sweep_00,64,2.6878070480712601,1,1.3586287615098993,eligible,pmks_positive_0064,matched,
matlab_0065,matlab_sweep_00,65,2.7052603405912032,1,1.3612093275127997,eligible,pmks_positive_0065,matched,
matlab_0066,matlab_sweep_00,66,2.7227136331111463,1,1.3639320890121986,eligible,pmks_positive_0066,matched,
matlab_0067,matlab_sweep_00,67,2.7401669256310894,1,1.3667981982009187,eligible,pmks_positive_0067,matched,
matlab_0068,matlab_sweep_00,68,2.7576202181510325,1,1.3698086321592344,eligible,pmks_positive_0068,matched,
matlab_0069,matlab_sweep_00,69,2.7750735106709756,1,1.372964195336591,eligible,pmks_positive_0069,matched,
matlab_0070,matlab_sweep_00,70,2.7925268031909187,1,1.3762655226462526,eligible,pmks_positive_0070,matched,
matlab_0071,matlab_sweep_00,71,2.8099800957108618,1,1.3797130831093849,eligible,pmks_positive_0071,matched,
matlab_0072,matlab_sweep_00,72,2.8274333882308049,1,1.3833071839809754,eligible,pmks_positive_0072,matched,
matlab_0073,matlab_sweep_00,73,2.844886680750748,1,1.3870479752872451,eligible,pmks_positive_0073,matched,
matlab_0074,matlab_sweep_00,74,2.8623399732706911,1,1.3909354547026851,eligible,pmks_positive_0074,matched,
matlab_0075,matlab_sweep_00,75,2.8797932657906342,1,1.3949694726945496,eligible,pmks_positive_0075,matched,
matlab_0076,matlab_sweep_00,76,2.8972465583105773,1,1.3991497378635094,eligible,pmks_positive_0076,matched,
matlab_0077,matlab_sweep_00,77,2.9146998508305204,1,1.4034758224110082,eligible,pmks_positive_0077,matched,
matlab_0078,matlab_sweep_00,78,2.9321531433504635,1,1.4079471676666824,eligible,pmks_positive_0078,matched,
matlab_0079,matlab_sweep_00,79,2.9496064358704066,1,1.4125630896127384,eligible,pmks_positive_0079,matched,
matlab_0080,matlab_sweep_00,80,2.9670597283903497,1,1.4173227843464027,eligible,pmks_positive_0080,matched,
matlab_0081,matlab_sweep_00,81,2.9845130209102928,1,1.4222253334262296,eligible,pmks_positive_0081,matched,
matlab_0082,matlab_sweep_00,82,3.0019663134302359,1,1.4272697090531237,eligible,pmks_positive_0082,matched,
